Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
0,19,15,39,4
0,21,15,81,0
1,20,16,6,4
1,23,16,77,0
1,31,17,40,4
1,22,17,76,0
1,35,18,6,4
1,23,18,94,0
0,64,19,3,4
1,30,19,72,0
0,67,19,14,4
1,35,19,99,0
1,58,20,15,4
1,24,20,77,0
0,37,20,13,4
0,22,20,79,0
1,35,21,35,4
0,20,21,66,0
0,52,23,29,4
1,35,23,98,0
0,35,24,35,4
0,25,24,73,0
1,46,25,5,4
0,31,25,73,0
1,54,28,14,4
0,29,28,82,0
1,45,28,32,4
0,35,28,61,0
1,40,29,31,4
1,23,29,87,0
0,60,30,4,4
1,21,30,73,0
0,53,33,4,4
0,18,33,92,0
1,49,33,14,4
1,21,33,81,0
1,42,34,17,4
1,30,34,73,0
1,36,37,26,4
1,20,37,75,0
1,65,38,35,4
0,24,38,92,0
0,48,39,36,4
1,31,39,61,1
1,49,39,28,4
1,24,39,65,0
1,50,40,55,1
1,27,40,47,1
1,29,40,42,1
1,31,40,42,1
1,49,42,52,1
0,33,42,60,1
1,31,43,54,1
0,59,43,60,1
1,50,43,45,1
0,47,43,41,1
1,51,44,50,1
0,69,44,46,1
1,27,46,51,1
0,53,46,46,1
0,70,46,56,1
0,19,46,55,1
1,67,47,52,1
1,54,47,59,1
0,63,48,51,1
0,18,48,59,1
1,43,48,50,1
1,68,48,48,1
0,19,48,59,1
1,32,48,47,1
0,70,49,55,1
1,47,49,42,1
1,60,50,49,1
1,60,50,56,1
0,59,54,47,1
0,26,54,54,1
1,45,54,53,1
0,40,54,48,1
1,23,54,52,1
1,49,54,42,1
0,57,54,51,1
0,38,54,55,1
0,67,54,41,1
1,46,54,44,1
1,21,54,57,1
0,48,54,46,1
1,55,57,58,1
1,22,57,55,1
1,34,58,60,1
1,50,58,46,1
1,68,59,55,1
0,18,59,41,1
0,48,60,49,1
1,40,60,40,1
1,32,60,42,1
0,24,60,52,1
1,47,60,47,1
1,27,60,50,1
0,48,61,42,1
0,20,61,49,1
1,23,62,41,1
1,49,62,48,1
0,67,62,59,1
0,26,62,55,1
0,49,62,56,1
1,21,62,42,1
1,66,63,50,1
0,54,63,46,1
0,68,63,43,1
0,66,63,48,1
0,65,63,52,1
1,19,63,54,1
1,38,64,42,1
0,19,64,46,1
1,18,65,48,1
1,19,65,50,1
1,63,65,43,1
1,49,65,59,1
1,51,67,43,1
1,50,67,57,1
0,27,67,56,1
1,38,67,40,1
1,40,69,58,1
0,39,69,91,3
1,23,70,29,2
1,31,70,77,3
0,43,71,35,1
0,40,71,95,3
0,59,71,11,2
0,38,71,75,3
0,47,71,9,2
0,39,71,75,3
1,25,72,34,1
1,31,72,71,3
0,20,73,5,2
1,29,73,88,3
1,44,73,7,2
0,32,73,73,3
0,19,74,10,2
1,35,74,72,3
1,57,75,5,2
0,32,75,93,3
1,28,76,40,1
1,32,76,87,3
0,25,77,12,2
0,28,77,97,3
0,48,77,36,2
1,32,77,74,3
1,34,78,22,2
0,34,78,90,3
0,43,78,17,2
0,39,78,88,3
1,44,78,20,2
1,38,78,76,3
1,47,78,16,2
1,27,78,89,3
0,37,78,1,2
1,30,78,78,3
0,34,78,1,2
1,30,78,73,3
1,56,79,35,2
1,29,79,83,3
0,19,81,5,2
1,31,81,93,3
0,50,85,26,2
1,36,85,75,3
0,42,86,20,2
1,33,86,95,3
1,36,87,27,2
0,32,87,63,3
0,40,87,13,2
0,28,87,75,3
0,36,87,10,2
0,36,87,92,3
1,52,88,13,2
1,30,88,86,3
0,58,88,15,2
0,27,88,69,3
0,59,93,14,2
0,35,93,90,3
1,37,97,32,2
1,32,97,86,3
0,46,98,15,2
1,29,98,88,3
1,41,99,39,2
0,30,99,97,3
1,54,101,24,2
0,28,101,68,3
1,41,103,17,2
1,36,103,85,3
1,34,103,23,2
1,32,103,69,3
0,33,113,8,2
1,38,113,91,3
1,47,120,16,2
1,35,120,79,3
1,45,126,28,2
0,32,126,74,3
0,32,137,18,2
0,30,137,83,3
